ID,Keyword,Reason,Snippet
9,กาสาวพัสตร์,Not found in Interp,ฝันเห็นผ้าไตรจีวร แต่ไม่เห็นองค์พระ ทายว่า ถ้ามีครอบครัวแล้ว
30,ตกจากที่สูง,Not found in Interp,ฝันว่าถูกลมหอบไป หรือฝันว่าตกลงมาจากที่สูง ทายว่า จะได้รับคว
63,คานพาด,Not found in Interp,ฝันว่า คานเป็นผู้หญิงจะหมายถึงฐานะของเราทายว่า จะได้รับเลื่อ
64,มาตกรรม,Not found in Interp,ฝันเห็นการฆาตกรรม หรือเห็นคนวิวาททำร้ายกันถึงตาย หรือตนเองถู
83,จอมเสียม,Not found in Interp,ฝันเห็นจอบหรือเสียม หรือเครื่องมือทางเกษตร ถ้าได้จับต้องจะได
89,จันทร์จรดฟ้า,Not found in Interp,(ดู ครราส' อักษร จ.)
100,จับเจ่า,Not found in Interp,ฝันว่าตนเองนั่งจับเสียงคนเดียวในที่เสี่ยงภัย หรือนั่งอยู่แต่
102,จำปา-จำปี,Not found in Interp,ฝันว่าได้ดอกจำปี หรือดอกจำปา ทายว่าเป็นความฝันดี ผู้ฝันจะได้
116,ช้อนชาม,Not found in Interp,ฝันเห็นช้อนหรือชามจาน ถ้าเป็นคนมีครอบครัวแล้ว ทายว่า จะได้บุ
120,ชฎา,Not found in Interp,ฝันเห็นซฎาสมหศิรษะกษัตริย์ หรือซฎพวกละคร หรือหมวกมีเหลมคล้าย
122,ชลธาร,Not found in Interp,ฝันเห็นทะเลสาบ ร่องน้ำ หรือลำคลอง หรือน้ำตก ทายว่า จะได้ความ
135,เซิ้ง,Not found in Interp,ฝันเห็นการเต้นรำทำเพลงอย่างสนุกสนาน ถ้าเป็นหญิง ทายว่า จะได้
142,หญิงแต่งชุดสีต่าง ๆ,Not found in Interp,ฝันเห็นหญิงแต่งชุดดำ ทายว่าจะมีศัตรูคิดปองร้าย ฝันเห็นหญิงแต
161,ดึก,Not found in Interp,ฝันว่าเวลาล่วงเที่ยงคืน หรือยามตีสี่ตีห้า ทายว่า ของที่หายไป
167,ตกบ่อ,Not found in Interp,ฝันว่าตนเองตกลงไปในบ่อหรือในหลุมโคลนที่มีหนอนไส้เดือนอยู่ เป
168,เห็นตัวเราฝันตาย,Not found in Interp,ทายว่า จะได้รับการมัวหมองจากหน้าที่การงาน หรือได้รับการนินทา
180,เตาไฟดับ,Not found in Interp,ทายว่า จะได้สัตว์เลี้ยงมีคนเข้ามาอยู่ในบ้าน
185,ตกน้ำ,Not found in Interp,ฝันว่าน้ำไหลจากภูเขามาในบ้าน หรือฝันว่าได้อาบน้ำในบ่อน้ำ มีผ
274,นุ่งผ้า,Not found in Interp,ฝันว่าได้นุ่งห่มอาภรณ์ หรือเครื่องตบแต่งเป็นสีขาวล้วน ทายว่า
312,บ้องไฟ,Not found in Interp,ฝันเห็นบั้งไฟ หรือดอกไฟที่จุดในงานต่าง ๆ ทายว่า จะเป็นฝันดีแ
319,บูดร,Not found in Interp,หญิงชายใดฝันว่า มีคนเอาเดียงข้างให้นิม หรือดลอุตดร หากว่า จะ
320,เบิด,Not found in Interp,หญิงชายใดฝันเห็นบิจดกบปลา หรือให้น้ำสึ่ม เมื่อแล้วไม่ได้ตก ห
328,บางสะรวง,Not found in Interp,ฝันว่าได้บังสะรวงเพชรยดา หรือขมานุม คราสมความพิเศษด้วย ๆ หาย
331,เกี๊ยว,Not found in Interp,ฝันเห็นเปี๊ยว หรือเงินทองที่คนในสมัยโบราณใช้เป็นสื่อในการซื้
334,กิ้น,Not found in Interp,หญิงชายใดฝันเห็นปิ้น หรือได้ยินปั้นเป็นที่พอชาสิเธอ พบว่า หญ
352,ป่องประกาศ,Not found in Interp,ฝันเห็นป่องหรือการประกาศหรือกองทัพแห่แคว้นต่างๆ หมายว่า งานท
359,เกยาก,Not found in Interp,ฝันว่าตกลงในน้ำงานเผาศพ หรือบ่นต้องพูด หรือได้ดินโคลนกลองของ
363,ผิวหนัง,Not found in Interp,ชายใดฝันว่าได้ผิวหน้าสวยงาม หายาก จะได้รับความรักใคร่จากเพศต
382,กระอาทิตย์,Not found in Interp,ฝันว่า ได้เห็นดวงอาทิตย์ปลั่งรัศมีส่องแสงสู่พื้นดิน แต่ไม่มั
